label,timestep,acc
000,0,0.6666666666666666
000,4,1.0
000,8,1.0
000,16,1.0
000,41,1.0
000,83,1.0
000,125,1.0
000,145,1.0
000,166,1.0
000,187,1.0
000,208,1.0
000,229,1.0
010,0,0.6666666666666666
010,4,1.0
010,8,1.0
010,16,1.0
010,41,1.0
010,83,1.0
010,125,1.0
010,145,1.0
010,166,1.0
010,187,1.0
010,208,1.0
010,229,1.0
100,0,0.6666666666666666
100,4,1.0
100,8,1.0
100,16,1.0
100,41,1.0
100,83,1.0
100,125,1.0
100,145,1.0
100,166,1.0
100,187,1.0
100,208,1.0
100,229,1.0
001,0,0.6666666666666666
001,4,1.0
001,8,1.0
001,16,1.0
001,41,1.0
001,83,1.0
001,125,1.0
001,145,1.0
001,166,1.0
001,187,1.0
001,208,1.0
001,229,1.0
011,0,0.6666666666666666
011,4,1.0
011,8,1.0
011,16,1.0
011,41,1.0
011,83,1.0
011,125,1.0
011,145,1.0
011,166,1.0
011,187,1.0
011,208,1.0
011,229,1.0
101,0,0.6666666666666666
101,4,1.0
101,8,1.0
101,16,1.0
101,41,1.0
101,83,1.0
101,125,1.0
101,145,1.0
101,166,1.0
101,187,1.0
101,208,1.0
101,229,1.0
110,0,0.6666666666666666
110,4,1.0
110,8,1.0
110,16,1.0
110,41,1.0
110,83,1.0
110,125,1.0
110,145,1.0
110,166,1.0
110,187,1.0
110,208,1.0
110,229,1.0
111,0,0.6666666666666666
111,4,1.0
111,8,1.0
111,16,1.0
111,41,1.0
111,83,1.0
111,125,1.0
111,145,1.0
111,166,1.0
111,187,1.0
111,208,1.0
111,229,1.0
